ID;Reason for absence;Month of absence;Day of the week;Seasons;Transportation expense;Distance from Residence to Work;Service time;Age;Work load Average/day ;Hit target;Disciplinary failure;Education;Son;Social drinker;Social smoker;Pet;Weight;Height;Body mass index;Absenteeism time in hours;Data
1;26;7;3;1;289;36;13;33;239,554;97;0;1;2;1;0;1;90;172;30;4;03/07/2023
2;0;7;3;1;118;13;18;50;239,554;97;1;1;1;1;0;0;98;178;31;0;03/07/2023
3;23;7;4;1;179;51;18;38;239,554;97;0;1;0;1;0;0;89;170;31;2;04/07/2023
4;7;7;5;1;279;5;14;39;239,554;97;0;1;2;1;1;0;68;168;24;4;05/07/2023
5;23;7;5;1;289;36;13;33;239,554;97;0;1;2;1;0;1;90;172;30;2;05/07/2023
6;23;7;6;1;179;51;18;38;239,554;97;0;1;0;1;0;0;89;170;31;2;06/07/2023
7;22;7;6;1;361;52;3;28;239,554;97;0;1;1;1;0;4;80;172;27;8;06/07/2023
8;23;7;6;1;260;50;11;36;239,554;97;0;1;4;1;0;0;65;168;23;4;06/07/2023
9;19;7;2;1;155;12;14;34;239,554;97;0;1;2;1;0;0;95;196;25;40;02/07/2023
10;22;7;2;1;235;11;14;37;239,554;97;0;3;1;0;0;1;88;172;29;8;02/07/2023
11;1;7;2;1;260;50;11;36;239,554;97;0;1;4;1;0;0;65;168;23;8;02/07/2023
12;1;7;3;1;260;50;11;36;239,554;97;0;1;4;1;0;0;65;168;23;8;03/07/2023
13;11;7;4;1;260;50;11;36;239,554;97;0;1;4;1;0;0;65;168;23;8;04/07/2023
14;11;7;4;1;179;51;18;38;239,554;97;0;1;0;1;0;0;89;170;31;1;04/07/2023
15;23;7;4;1;179;51;18;38;239,554;97;0;1;0;1;0;0;89;170;31;4;04/07/2023
16;14;7;6;1;246;25;16;41;239,554;97;0;1;0;1;0;0;67;170;23;8;06/07/2023
17;23;7;6;1;179;51;18;38;239,554;97;0;1;0;1;0;0;89;170;31;2;06/07/2023
18;21;7;2;1;179;51;18;38;239,554;97;0;1;0;1;0;0;89;170;31;8;02/07/2023
19;11;7;5;1;189;29;13;33;239,554;97;0;1;2;0;0;2;69;167;25;8;05/07/2023
20;23;8;4;1;248;25;14;47;205,917;92;0;1;2;0;0;1;86;165;32;2;04/08/2023
21;10;8;4;1;330;16;4;28;205,917;92;0;2;0;0;0;0;84;182;25;8;04/08/2023
22;11;8;2;1;179;51;18;38;205,917;92;0;1;0;1;0;0;89;170;31;1;02/08/2023
23;13;8;2;1;361;52;3;28;205,917;92;0;1;1;1;0;4;80;172;27;40;02/08/2023
24;28;8;6;1;260;50;11;36;205,917;92;0;1;4;1;0;0;65;168;23;4;06/08/2023
25;18;8;2;1;289;36;13;33;205,917;92;0;1;2;1;0;1;90;172;30;8;02/08/2023
26;25;8;2;1;361;52;3;28;205,917;92;0;1;1;1;0;4;80;172;27;7;02/08/2023
27;23;8;3;1;289;36;13;33;205,917;92;0;1;2;1;0;1;90;172;30;1;03/08/2023
28;28;8;4;1;157;27;6;29;205,917;92;0;1;0;1;1;0;75;185;22;4;04/08/2023
29;18;8;4;1;289;36;13;33;205,917;92;0;1;2;1;0;1;90;172;30;8;04/08/2023
30;23;8;6;1;179;51;18;38;205,917;92;0;1;0;1;0;0;89;170;31;2;06/08/2023
31;18;8;2;1;179;51;18;38;205,917;92;0;1;0;1;0;0;89;170;31;8;02/08/2023
32;18;8;5;1;235;29;12;48;205,917;92;0;1;1;0;1;5;88;163;33;8;05/08/2023
